#K-Path(1/A) Energy-Level(eV)
# NKPTS & NBANDS: 180  28
# Band-Index    1
   0.00000    -56.992431
   0.03607    -56.992391
   0.07214    -56.992339
   0.10821    -56.992148
   0.14428    -56.991899
   0.18035    -56.991630
   0.21642    -56.991262
   0.25249    -56.990922
   0.28856    -56.990531
   0.32463    -56.990051
   0.36070    -56.989639
   0.39678    -56.989085
   0.43285    -56.988448
   0.46892    -56.987786
   0.50499    -56.987133
   0.54106    -56.986454
   0.57713    -56.985793
   0.61320    -56.985060
   0.64927    -56.984302
   0.68534    -56.983600
   0.68534    -56.983600
   0.72141    -56.983590
   0.75748    -56.983548
   0.79355    -56.983589
   0.82962    -56.983587
   0.86569    -56.983592
   0.90176    -56.983648
   0.93783    -56.983663
   0.97390    -56.983656
   1.00997    -56.983638
   1.04604    -56.983610
   1.08211    -56.983640
   1.11818    -56.983641
   1.15425    -56.983611
   1.19033    -56.983572
   1.22640    -56.983574
   1.26247    -56.983548
   1.29854    -56.983543
   1.33461    -56.983499
   1.37068    -56.983602
   1.37068    -56.983602
   1.42169    -56.983538
   1.47270    -56.983762
   1.52371    -56.984103
   1.57472    -56.984469
   1.62573    -56.985011
   1.67675    -56.985636
   1.72776    -56.986295
   1.77877    -56.987015
   1.82978    -56.987781
   1.88079    -56.988516
   1.93180    -56.989222
   1.98281    -56.989894
   2.03382    -56.990420
   2.08484    -56.990924
   2.13585    -56.991473
   2.18686    -56.991918
   2.23787    -56.992214
   2.28888    -56.992391
   2.33989    -56.992431
   2.33989    -56.992431
   2.39589    -56.992205
   2.45188    -56.991371
   2.50787    -56.989872
   2.56386    -56.987820
   2.61986    -56.985158
   2.67585    -56.982173
   2.73184    -56.978832
   2.78784    -56.975207
   2.84383    -56.971438
   2.89982    -56.967436
   2.95581    -56.963447
   3.01181    -56.959637
   3.06780    -56.956012
   3.12379    -56.952574
   3.17979    -56.949704
   3.23578    -56.947145
   3.29177    -56.944944
   3.34776    -56.943475
   3.40376    -56.942469
   3.40376    -56.942469
   3.43983    -56.942467
   3.47590    -56.942464
   3.51197    -56.942450
   3.54804    -56.942511
   3.58411    -56.942500
   3.62018    -56.942476
   3.65625    -56.942513
   3.69232    -56.942552
   3.72839    -56.942551
   3.76446    -56.942552
   3.80053    -56.942591
   3.83660    -56.942588
   3.87267    -56.942553
   3.90874    -56.942574
   3.94481    -56.942549
   3.98088    -56.942530
   4.01696    -56.942529
   4.05303    -56.942573
   4.08910    -56.942574
   4.08910    -56.942574
   4.12517    -56.942592
   4.16124    -56.942591
   4.19731    -56.942543
   4.23338    -56.942561
   4.26945    -56.942557
   4.30552    -56.942571
   4.34159    -56.942585
   4.37766    -56.942620
   4.41373    -56.942612
   4.44980    -56.942608
   4.48587    -56.942625
   4.52194    -56.942641
   4.55801    -56.942614
   4.59408    -56.942631
   4.63015    -56.942648
   4.66622    -56.942667
   4.70229    -56.942711
   4.73836    -56.942711
   4.77443    -56.942731
   4.77443    -56.942731
   4.82545    -56.942712
   4.87646    -56.942650
   4.92747    -56.942666
   4.97848    -56.942627
   5.02949    -56.942634
   5.08050    -56.942572
   5.13151    -56.942583
   5.18253    -56.942614
   5.23354    -56.942603
   5.28455    -56.942591
   5.33556    -56.942569
   5.38657    -56.942578
   5.43758    -56.942572
   5.48859    -56.942555
   5.53960    -56.942552
   5.59062    -56.942531
   5.64163    -56.942452
   5.69264    -56.942466
   5.74365    -56.942469
   5.74365    -56.983600
   5.79964    -56.983290
   5.85564    -56.982463
   5.91163    -56.981098
   5.96762    -56.979303
   6.02361    -56.976976
   6.07961    -56.974341
   6.13560    -56.971374
   6.19159    -56.968211
   6.24759    -56.964826
   6.30358    -56.961443
   6.35957    -56.958124
   6.41556    -56.954976
   6.47156    -56.951945
   6.52755    -56.949251
   6.58354    -56.946924
   6.63954    -56.945062
   6.69553    -56.943715
   6.75152    -56.942855
   6.80751    -56.942574
   6.80751    -56.983602
   6.86351    -56.983220
   6.91950    -56.982437
   6.97549    -56.981027
   7.03149    -56.979228
   7.08748    -56.976943
   7.14347    -56.974364
   7.19947    -56.971354
   7.25546    -56.968239
   7.31145    -56.964899
   7.36744    -56.961486
   7.42344    -56.958140
   7.47943    -56.954924
   7.53542    -56.951925
   7.59142    -56.949251
   7.64741    -56.946944
   7.70340    -56.945085
   7.75939    -56.943763
   7.81539    -56.943011
   7.87138    -56.942731
 
# Band-Index    2
   7.87138    -56.942731
   7.81539    -56.943011
   7.75939    -56.943763
   7.70340    -56.945085
   7.64741    -56.946944
   7.59142    -56.949251
   7.53542    -56.951925
   7.47943    -56.954924
   7.42344    -56.958140
   7.36744    -56.961486
   7.31145    -56.964899
   7.25546    -56.968239
   7.19947    -56.971354
   7.14347    -56.974364
   7.08748    -56.976943
   7.03149    -56.979228
   6.97549    -56.981027
   6.91950    -56.982437
   6.86351    -56.983220
   6.80751    -56.983602
   6.80751    -56.942574
   6.75152    -56.942855
   6.69553    -56.943715
   6.63954    -56.945062
   6.58354    -56.946924
   6.52755    -56.949251
   6.47156    -56.951945
   6.41556    -56.954976
   6.35957    -56.958124
   6.30358    -56.961443
   6.24759    -56.964826
   6.19159    -56.968211
   6.13560    -56.971374
   6.07961    -56.974341
   6.02361    -56.976976
   5.96762    -56.979303
   5.91163    -56.981098
   5.85564    -56.982463
   5.79964    -56.983290
   5.74365    -56.983600
   5.74365    -56.942469
   5.69264    -56.942466
   5.64163    -56.942450
   5.59062    -56.942531
   5.53960    -56.942546
   5.48859    -56.942546
   5.43758    -56.942566
   5.38657    -56.942576
